"url";"pageTitle";"items";"title";"link";"company";"location";"workFromHome";"salaryInfo";"labels";"timeAgoDateTime";"timeAgo";"#error";"#debug";"requestId";"url";"loadedUrl";"method";"retryCount";"statusCode"
"https://www.stepstone.de/5/ergebnisliste.html?what=Systemadministrator&where=Augsburg&radius=50&search";"Ergebnisse Ihrer Jobsuche 
";;"Fachinformatiker / Systemadministrator (m/w/d)";"/stellenangebote--Fachinformatiker-Systemadministrator-m-w-d-Augsburg-Wawra-Gaibler-Rechtsanwalts-GmbH--8167358-inline.html";"Wawra & Gaibler Rechtsanwalts GmbH";"Augsburg";"Home-Office möglich";"35.000 - 47.000 €/Jahr (geschätzt)";;"2022-04-07T05:00:25+02:00";"vor 3 Tagen";"false";;"sC6recRZkPCgxyY";"https://www.stepstone.de/5/ergebnisliste.html?what=Systemadministrator&where=Augsburg&radius=50&search";"https://www.stepstone.de/5/ergebnisliste.html?what=Systemadministrator&where=Augsburg&radius=50&search";"GET";"0";"200"
;;;"System-Administrator (m/w/d)";"/stellenangebote--System-Administrator-m-w-d-Augsburg-baramundi-software-AG--8175506-inline.html";"baramundi software AG";"Augsburg";"Home-Office möglich";"37.000 - 49.000 €/Jahr (geschätzt)";"Schnelle Bewerbung";"2022-04-08T11:51:30+02:00";"vor 2 Tagen";;;;;;;;
;;;"Systemadministrator (m/w/d)";"/stellenangebote--Systemadministrator-m-w-d-Augsburg-FERCHAU-GmbH--7838076-inline.html";"FERCHAU GmbH";"Augsburg";"Home-Office möglich";;;"2022-04-03T04:41:28+02:00";"vor 1 Woche";;;;;;;;
;;;"Senior IT-Systemadministrator (w/m/d)";"/stellenangebote--Senior-IT-Systemadministrator-w-m-d-Augsburg-SYNLAB-Holding-Deutschland-GmbH--8113463-inline.html";"SYNLAB Holding Deutschland GmbH";"Augsburg";;"43.000 - 60.000 €/Jahr (geschätzt)";;"2022-04-06T15:56:15+02:00";"vor 3 Tagen";;;;;;;;
;;;"IT-Systemadministrator (m/w/d)";"/stellenangebote--IT-Systemadministrator-m-w-d-Augsburg-MT-Management-Service-GmbH--8154518-inline.html";"MT Management Service GmbH";"Augsburg";"Home-Office möglich";"35.000 - 50.000 €/Jahr (geschätzt)";;"2022-04-04T06:20:23+02:00";"vor 6 Tagen";;;;;;;;
;;;"IT-Systemadministrator (m/w/d)";"/stellenangebote--IT-Systemadministrator-m-w-d-Augsburg-AVA-Abfallverwertung-Augsburg-Kommunalunternehmen--8133796-inline.html";"AVA Abfallverwertung Augsburg Kommunalunternehmen";"Augsburg";;"37.000 - 50.000 €/Jahr (geschätzt)";;"2022-03-29T07:17:49+02:00";"vor 1 Woche";;;;;;;;
;;;"Systemadministrator (m/w/d)";"/stellenangebote--Systemadministrator-m-w-d-Bergkirchen-bei-Dachau-nahe-Muenchen-GEV--8101800-inline.html";"GEV";"Bergkirchen (bei Dachau nahe München)";;"40.000 - 61.000 €/Jahr (geschätzt)";;"2022-04-02T09:19:15+02:00";"vor 1 Woche";;;;;;;;
;;;"Systemadministrator (m/w/d) Schwerpunkt IT / OT Infrastruktur";"/stellenangebote--Systemadministrator-m-w-d-Schwerpunkt-IT-OT-Infrastruktur-Oberschleissheim-bei-Muenchen-Schreiner-Group-GmbH-Co-KG--8126214-inline.html";"Schreiner Group GmbH & Co. KG";"Oberschleißheim bei München";;"38.000 - 59.000 €/Jahr (geschätzt)";;"2022-04-09T13:10:11+02:00";"vor 23 Stunden";;;;;;;;
;;;"Senior IT-Systemadministrator (m/w/d)";"/stellenangebote--Senior-IT-Systemadministrator-m-w-d-Burgau-ROMA-KG--8126906-inline.html";"ROMA KG";"Burgau";;"42.000 - 59.000 €/Jahr (geschätzt)";;"2022-04-09T02:19:33+02:00";"vor 1 Tag";;;;;;;;
;;;"IT Systemadministrator (gn)";"/stellenangebote--IT-Systemadministrator-gn-Martinsried-Planegg-Formycon-AG--8067309-inline.html";"Formycon AG";"Martinsried / Planegg";;"42.000 - 58.000 €/Jahr (geschätzt)";;"2022-04-07T09:07:05+02:00";"vor 3 Tagen";;;;;;;;
;;;"IT-Systemadministrator (m/w/d)";"/stellenangebote--IT-Systemadministrator-m-w-d-Krumbach-Borgers-Sued-GmbH--8164219-inline.html";"Borgers Süd GmbH";"Krumbach";;"48.000 - 60.000 €/Jahr (geschätzt)";"Schnelle Bewerbung";"2022-04-06T12:55:40+02:00";"vor 3 Tagen";;;;;;;;
;;;"IT Systemadministrator (m/w/d)";"/stellenangebote--IT-Systemadministrator-m-w-d-Stuttgart-Ulm-Frankfurt-Gilching-Manching-Muenchen-Donauwoerth-Hamburg-Bremen-SII-Deutschland-GmbH--7836602-inline.html";"SII Deutschland GmbH";"Stuttgart, Ulm, Frankfurt, Gilching, Manching, München, Donauwörth, Hamburg, Bremen";;"40.000 - 58.000 €/Jahr (geschätzt)";;"2022-04-05T11:03:08+02:00";"vor 5 Tagen";;;;;;;;
;;;"IT Systemadministrator / Service Desk (m/w/d)";"/stellenangebote--IT-Systemadministrator-Service-Desk-m-w-d-Karlsfeld-bei-Muenchen-ARTDECO-cosmetic-GmbH--8125121-inline.html";"ARTDECO cosmetic GmbH";"Karlsfeld bei München";"Home-Office möglich";"39.000 - 57.000 €/Jahr (geschätzt)";;"2022-04-09T13:03:12+02:00";"vor 23 Stunden";;;;;;;;
;;;"IT-Systemadministrator/in (m/w/d)";"/stellenangebote--IT-Systemadministrator-in-m-w-d-Dachau-Stadt-Dachau--8153931-inline.html";"Stadt Dachau";"Dachau";;"42.000 - 50.000 €/Jahr (geschätzt)";;"2022-04-04T05:43:05+02:00";"vor 6 Tagen";;;;;;;;
;;;"IT-Systemadministrator/in (m/w/d)";"/stellenangebote--IT-Systemadministrator-in-m-w-d-Dachau-Stadt-Dachau--8153926-inline.html";"Stadt Dachau";"Dachau";;"42.000 - 50.000 €/Jahr (geschätzt)";;"2022-04-04T02:30:35+02:00";"vor 6 Tagen";;;;;;;;
;;;"IT Systemadministrator (m/w/d)";"/stellenangebote--IT-Systemadministrator-m-w-d-Puchheim-SCANLAB-GmbH--8043698-inline.html";"SCANLAB GmbH";"Puchheim";;"42.000 - 58.000 €/Jahr (geschätzt)";;"2022-04-02T10:03:09+02:00";"vor 1 Woche";;;;;;;;
;;;"IT-Systemadministrator (m/w/d)";"/stellenangebote--IT-Systemadministrator-m-w-d-Muenchen-Krauss-Maffei-Wegmann-GmbH-Co-KG--7405467-inline.html";"Krauss-Maffei Wegmann GmbH & Co. KG";"München";;"54.600 - 70.300 €/Jahr (geschätzt)";"Schnelle Bewerbung";"2022-04-01T09:51:13+02:00";"vor 1 Woche";;;;;;;;
;;;"IT Systemadministrator (m/w/d)";"/stellenangebote--IT-Systemadministrator-m-w-d-Gilching-Mynaric-AG--8149091-inline.html";"Mynaric AG";"Gilching";;;"Schnelle Bewerbung";"2022-04-01T04:19:48+02:00";"vor 1 Woche";;;;;;;;
;;;"Senior IT-Systemadministrator (m/w/d)";"/stellenangebote--Senior-IT-Systemadministrator-m-w-d-Oberschleissheim-bei-Muenchen-Schreiner-Group-GmbH-Co-KG--6184185-inline.html";"Schreiner Group GmbH & Co. KG";"Oberschleißheim bei München";;"40.000 - 62.000 €/Jahr (geschätzt)";;"2022-04-02T02:27:39+02:00";"vor 1 Woche";;;;;;;;
;;;"IT-Systemadministrator (m/w/d)";"/stellenangebote--IT-Systemadministrator-m-w-d-Mertingen-Sigel-GmbH--7973596-inline.html";"Sigel GmbH";"Mertingen";;"43.000 - 60.000 €/Jahr (geschätzt)";;"2022-03-30T15:03:12+02:00";"vor 1 Woche";;;;;;;;
;;;"Product Owner / SAP SD Senior Consultant (m/w/d)";"/stellenangebote--Product-Owner-SAP-SD-Senior-Consultant-m-w-d-Augsburg-MAN-Energy-Solutions-SE--8165193-inline.html";"MAN Energy Solutions SE";"Augsburg";;;;"2022-04-06T11:45:07+02:00";"vor 4 Tagen";;;;;;;;
;;;"IT-Systemadministrator (gn)";"/stellenangebote--IT-Systemadministrator-gn-Fuerstenfeldbruck-ESG-Elektroniksystem-und-Logistik-GmbH--8077105-inline.html";"ESG Elektroniksystem- und Logistik-GmbH";"Fürstenfeldbruck";"Home-Office möglich";"41.000 - 56.000 €/Jahr (geschätzt)";"Schnelle Bewerbung";"2022-03-29T20:03:04+02:00";"vor 1 Woche";;;;;;;;
;;;"IT-Systemadministrator (m/w/d)";"/stellenangebote--IT-Systemadministrator-m-w-d-Schwabmuenchen-VWR-International-GmbH-part-of-Avantor--8136208-inline.html";"VWR International GmbH, part of Avantor";"Schwabmünchen";;"43.000 - 58.000 €/Jahr (geschätzt)";;"2022-03-29T01:19:24+02:00";"vor 1 Woche";;;;;;;;
;;;"Modern Workplace Support Engineer/ Systemadministrator (m/w/x)";"/stellenangebote--Modern-Workplace-Support-Engineer-Systemadministrator-m-w-x-Bergkirchen-Thorlabs-GmbH--7906955-inline.html";"Thorlabs GmbH";"Bergkirchen";;"53.000 - 73.000 €/Jahr (geschätzt)";"Schnelle Bewerbung";"2022-04-07T16:03:08+02:00";"vor 2 Tagen";;;;;;;;
;;;"SAP SD Berater (m/w/d) – SAP SD Consultant";"/stellenangebote--SAP-SD-Berater-m-w-d-SAP-SD-Consultant-Koeln-Hamburg-Karlsruhe-Augsburg-Ratbacher-GmbH--8064284-inline.html";"Ratbacher GmbH";"Köln, Hamburg, Karlsruhe, Augsburg.";"Home-Office möglich";"65.000 - 85.000 €/Jahr (geschätzt)";"Anschreiben nicht erforderlich";"2022-04-07T12:33:40+02:00";"vor 3 Tagen";;;;;;;;
